circ_mv,turnover,amount,first_seal_minutes,is_early_seal,open_times,date,symbol,is_limit_up,label
15324099584.0,6.2705,921457024.0,879,0,0,20260203,000534,1,0
19478847407.36,3.96621322631836,746461088.0,780,0,1,20260226,000534,1,0
20618779955.84,4.1014084815979,812594880.0,644,0,0,20260306,000534,1,1
22678658069.76,8.72799015045166,1872865136.0,625,0,1,20260309,000534,1,0
14672000000.0,4.55125,661072000.0,584,1,0,20251114,000536,1,0
15528500224.0,8.12183,1218739968.0,626,0,0,20251120,000536,1,0
16993000448.0,18.929,3087600128.0,784,0,3,20251203,000536,1,0
15252200448.0,6.01491,917248000.0,565,1,2,20251215,000536,1,0
13097011125.84,3.2868263721466064,424831104.0,582,1,0,20260305,000536,1,0
19608399872.0,4.52963,869531008.0,590,1,0,20251027,000543,1,0
3163140096.0,13.8421,425036000.0,684,0,0,20251107,000545,1,0
3123729920.0,4.19913,128895000.0,576,1,0,20251128,000545,1,0
3074459904.0,8.52147,255583008.0,591,1,0,20260106,000545,1,0
3064603628.56,7.872498512268066,236421076.0,589,1,0,20260224,000545,1,1
3370078588.32,16.58949089050293,540837968.0,609,0,0,20260225,000545,1,0
3695261610.0,21.368793487548828,775213216.0,585,1,2,20260306,000545,1,0
4375309824.0,5.6429,238050000.0,618,0,0,20251117,000546,1,1
4814230016.0,7.98641,383972992.0,570,1,1,20251118,000546,1,1
5294960128.0,5.95276,312228000.0,570,1,0,20251119,000546,1,0
4591289856.0,5.55462,249122000.0,577,1,0,20251212,000546,1,0
4702759936.0,9.0376,416543008.0,573,1,0,20251217,000546,1,0
4758496556.9800005,2.1596996784210205,102769234.0,565,1,0,20260226,000546,1,0
14040999936.0,10.1373,1398880000.0,614,0,1,20251028,000547,1,0
14946400256.0,17.0518,2528869888.0,591,1,20,20251114,000547,1,1
16439400448.0,1.34714,221462000.0,565,1,0,20251117,000547,1,1
18091300864.0,25.7585,4597089792.0,570,1,2,20251118,000547,1,1
19901999104.0,11.6509,2288529920.0,571,1,1,20251119,000547,1,1
21887500288.0,42.5953,8763129856.0,565,1,8,20251120,000547,1,0
21665099776.0,33.611,6810379776.0,866,0,1,20251124,000547,1,0
21458599936.0,25.7552,5171350016.0,848,0,0,20251128,000547,1,1
23602900992.0,8.97555,2108899968.0,570,1,0,20251201,000547,1,1
25969500160.0,22.5354,5726850048.0,574,1,2,20251202,000547,1,0
32672399360.0,37.9769,11674000384.0,885,0,1,20251205,000547,1,0
44749598720.0,18.9281,8424019968.0,573,1,3,20251226,000547,1,1
49230999552.0,21.2833,10298900480.0,612,0,5,20251229,000547,1,0
52456898560.0,35.77,17932300288.0,890,0,0,20251231,000547,1,0
51455700992.0,28.1189,13872199680.0,675,0,3,20260203,000547,1,0
48213933021.08,17.013864517211914,7843032064.0,826,0,0,20260225,000547,1,0
2985060096.0,10.2597,299926016.0,780,0,2,20251021,000548,1,0
6051769856.0,14.1896,841507008.0,678,0,5,20251222,000551,1,1
6655499776.0,13.1794,857268992.0,575,1,3,20251223,000551,1,1
7322010112.0,2.09791,153610000.0,565,1,0,20251224,000551,1,1
8056150016.0,27.3804,2166040064.0,572,1,26,20251225,000551,1,0
3238490112.0,33.0128,1012259968.0,793,0,7,20260129,000554,1,0
3162335877.84,6.385939121246338,199048077.0,573,1,0,20260224,000554,1,0
3575760522.42,8.48099136352539,301818432.0,565,1,1,20260302,000554,1,1
3934787187.45,6.098735332489014,239850994.0,565,1,1,20260303,000554,1,0
13849600000.0,3.57098,472691008.0,884,0,0,20251023,000555,1,0
16259900416.0,7.45717,1173929984.0,582,1,0,20251029,000555,1,1
17883000832.0,15.6327,2714060032.0,581,1,2,20251030,000555,1,0
20264200192.0,22.4465,4294000128.0,595,1,3,20251103,000555,1,0
17513702187.239998,4.045887470245361,689235376.0,597,1,0,20260305,000555,1,0
9381619712.0,22.6567,2052019968.0,798,0,1,20250910,000558,1,0
28577699840.0,2.28791,637814976.0,583,1,0,20250915,000559,1,1
31452000256.0,6.07378,1892899968.0,572,1,2,20250916,000559,1,1
34590601216.0,3.05138,1051350016.0,570,1,0,20250917,000559,1,1
38059499520.0,13.3264,5004310016.0,582,1,21,20250918,000559,1,0
36526301184.0,9.52823,3307180032.0,641,0,2,20250923,000559,1,0
