序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times,date
72,603080,新疆火炬,10.015961647033691,27.57,674493760,3901155000.0,3901155000.0,17.76678466796875,4251294,131452,145501,1,1/1,1,燃气Ⅱ,603080,新疆火炬,1,10.015961647033691,3901155000.0,17.76678466796875,674493760,131452,1,20260303
73,603706,东方环宇,10.009182929992676,23.96,244794503,4537609827.440001,4537609827.440001,5.541205883026123,41465511,131936,131936,0,1/1,1,燃气Ⅱ,603706,东方环宇,1,10.009182929992676,4537609827.440001,5.541205883026123,244794503,131936,0,20260303
74,002700,万憬能源,9.946236610412598,8.18,511703392,2155142669.3199997,3383478610.56,24.687013626098633,4339490,132357,145403,2,1/1,1,燃气Ⅱ,002700,万憬能源,1,9.946236610412598,2155142669.3199997,24.687013626098633,511703392,132357,2,20260303
75,600403,大有能源,10.055866241455078,7.88,1218060496,18839601727.76,18839601712.0,6.67614221572876,10055668,132458,145001,1,1/1,1,煤炭开采,600403,大有能源,1,10.055866241455078,18839601727.76,6.67614221572876,1218060496,132458,1,20260303
76,300157,新锦动力,20.02383804321289,10.07,2489133712,7127794044.24,7592152759.84,36.79111099243164,52744656,133233,133233,0,6/3,2,通用设备,300157,新锦动力,2,20.02383804321289,7127794044.24,36.79111099243164,2489133712,133233,0,20260303
77,000301,东方盛虹,10.037735939025879,14.58,1223813072,96352742762.1,96391736432.64,1.3214973211288452,61850328,133630,140633,1,1/1,1,炼化及贸,000301,东方盛虹,1,10.037735939025879,96352742762.1,1.3214973211288452,1223813072,133630,1,20260303
78,301158,德石股份,20.0,37.44,1370843664,5485724936.639999,5629871894.4,26.444793701171875,29778390,133939,142406,8,2/2,2,专用设备,301158,德石股份,2,20.0,5485724936.639999,26.444793701171875,1370843664,133939,8,20260303
79,920158,长江能科,30.000001907348633,23.79,483464944,907336326.0,3391978200.0,58.8582878112793,9455454,134003,145539,18,1/1,1,专用设备,920158,长江能科,1,30.000001907348633,907336326.0,58.8582878112793,483464944,134003,18,20260303
80,920571,国航远洋,29.943954467773438,16.23,1645276160,4563768167.88,9014263010.880001,39.45916748046875,19473597,142351,144445,2,1/1,1,航运港口,920571,国航远洋,1,29.943954467773438,4563768167.88,39.45916748046875,1645276160,142351,2,20260303
81,300839,博汇股份,20.02791404724121,17.2,811850512,4982651780.4,5073373369.599999,17.842002868652344,79209732,145324,145324,0,1/1,1,炼化及贸,300839,博汇股份,1,20.02791404724121,4982651780.4,17.842002868652344,811850512,145324,0,20260303
82,920260,中寰股份,29.957807540893555,15.4,343702096,1521781168.6000001,1594670000.0,24.892749786376953,3454358,150000,150000,0,1/1,1,通用设备,920260,中寰股份,1,29.957807540893555,1521781168.6000001,24.892749786376953,343702096,150000,0,20260303
